Word number;		Data 
    0;			0x5399e508
    1;			0x8e86e705
    2;			0x953a773d
    3;			0xa4794579
    4;			0xa4f2b136
    5;			0xbf4bbd50
    6;			0xcd736167
    7;			0x7a275b30
    8;			0x4ede5f14
    9;			0x5102ed1e
   10;			0x255a157f
   11;			0x935c1951
   12;			0x252752b
   13;			0x7308fb22
   14;			0x6256157e
   15;			0x43df653f
   16;			0x15689725
   17;			0x72ec2b3a
   18;			0x2e3bdd65
   19;			0x1836214e
   20;			0xd4fb2720
   21;			0x8376a165
   22;			0x6b48bf4e
   23;			0x8294ad2c
   24;			0x40bd0522
   25;			0xe99b5f48
   26;			0x15a62373
   27;			0xc517c168
   28;			0x19dfc95f
   29;			0xbef137b9
   30;			0xf19cb324
   31;			0xd52a6146
   32;			0x1b90a36e
   33;			0x273bbf4f
   34;			0xc2ae196e
   35;			0xe6c99f4e
   36;			0x50a1f94a
   37;			0xc9751171
   38;			0x4d3e0d38
   39;			0xfd731336
   40;			0x865c0972
   41;			0xb4790335
   42;			0x60a6b74d
   43;			0xd345d51b
   44;			0xe0b40742
   45;			0x2feb1b09
   46;			0x1d2ddf3a
   47;			0xe370d754
   48;			0x95d33f35
   49;			0x2d95e31e
   50;			0x3d866b26
   51;			0x7484d11e
   52;			0xb5f56b32
   53;			0x44c0071e
   54;			0x1e45af20
   55;			0x29599305
   56;			0x7819b57
   57;			0x3a576545
   58;			0xdc1c4f3d
   59;			0xc53f616b
   60;			0x3af13d4a
   61;			0xa002374a
   62;			0xf9e71771
   63;			0x551ad948
   64;			0xb8ff933d
   65;			0x99553d10
   66;			0xb771a111
   67;			0xb620a338
   68;			0x5faced0b
   69;			0x764a530
   70;			0xed96f929
   71;			0xdf1d7142
   72;			0x32b0391f
   73;			0x24821309
   74;			0xbbbe1f60
   75;			0x86287d3e
   76;			0xd23cb52
   77;			0x55291b75
   78;			0xe2490300
   79;			0x3478d545
   80;			0xba0def64
   81;			0x25f6356a
   82;			0xb1dd576a
   83;			0x80e6ad2b
   84;			0x5218014e
   85;			0xa30eff5c
   86;			0xfa4f5b37
   87;			0x541cb4d
   88;			0x8e313161
   89;			0x9005cb63
   90;			0x5b2e215e
   91;			0xb767f1e
   92;			0x9009355
   93;			0xb0cf6f76
   94;			0x2fa8d57a
   95;			0xead7710
   96;			0xe231856a
   97;			0xd3948d13
   98;			0x22a0e74f
   99;			0xc61e7538
  100;			0xc774a16d
  101;			0x2bf1e309
  102;			0xe12cef49
  103;			0x20171132
  104;			0x655f7568
  105;			0xc5db8d37
  106;			0x1d7a4f30
  107;			0xf6dda550
  108;			0x4f232b42
  109;			0x48d6ef15
  110;			0x8d22497a
  111;			0xe593a93e
  112;			0x772c3f60
  113;			0xd22f3d1b
  114;			0xf086fd49
  115;			0xa44c962
  116;			0x4685616f
  117;			0x7b677b3e
  118;			0x6c624b13
  119;			0x297aa56d
  120;			0x5d65614e
  121;			0x33aa310c
  122;			0x300e3323
  123;			0xa3b8fd74
  124;			0x4ecfed25
  125;			0x44032345
  126;			0x26c05934
  127;			0xe285e304
  128;			0x71423f7f
  129;			0x8fe8df0e
  130;			0xfed8ad52
  131;			0x6195cb10
  132;			0xa7165d6a
  133;			0x87ebe17b
  134;			0xcd311350
  135;			0xf0e9ad4f
  136;			0x13239b62
  137;			0x4838ed33
  138;			0x86269f04
  139;			0xec052924
  140;			0xd8ec3b60
  141;			0xd0416d19
  142;			0x87d62967
  143;			0xab775d60
  144;			0xbc794771
  145;			0x2b66eb1e
  146;			0xd1fd550f
  147;			0x83463351
  148;			0xb2fa345
  149;			0x8ca1f17d
  150;			0x321d6105
  151;			0x6ade513a
  152;			0xc310b177
  153;			0x48e3bf0f
  154;			0x448dfb44
  155;			0xfafb5546
  156;			0x14bf0508
  157;			0x7380f326
  158;			0xb7fdf11d
  159;			0xd4347f31
  160;			0xf636491b
  161;			0x2aa9f129
  162;			0x1d581d0c
  163;			0x49a6a529
  164;			0x392b4f61
  165;			0x77c1cb35
  166;			0xfeeb9b35
  167;			0xb9f3790e
  168;			0xaa7f4929
  169;			0xa3d97314
  170;			0x2b4fa74c
  171;			0xc48f117c
  172;			0x27c7492c
