Link ID; Channel ID; Line; Data 
  1;15; 1;0x3cdf8008020f0189e1f3fffaL
 1;15; 2;0x3cdf8008020f019781f6fff9L
 1;15; 3;0x3cdf8008020f01899d43ffe7L
 1;15; 4;0x3cdf8008020f0197722fffe8L
 1;15; 5;0x3cdf8008020f0189813bfff6L
 1;15; 6;0x3cdf8008020f0197aaf1fff5L
 1;15; 7;0x3cc30008020f01976a30ffe3L
 1;15; 8;0x3cc30008020f0189e13afffdL
 1;15; 9;0x3cc30008020f01970a28fffeL
 1;15;10;0x3cc30008020f0197122fffffL
 1;15;11;0x3cc30008020f0197da3afff0L
 1;15;12;0x3cc30008020f0197ce23ffeeL
 1;15;13;0x3cc30008020f0197a637ffedL
 1;15;14;0x3cc30008020f0197ce2dffecL
 1;15;15;0x3cc30008020f019766f7ffebL
 1;15;16;0x3cc30008020f0189eef3ffeaL
 1;15;17;0x3cc30008020f01979ae8ffe9L
 1;15;18;0x3cc30008020f01894121fff7L
 1;15;19;0x3cc30008020f01976a2cfff8L
 1;15;20;0x3cc30008020f01896a3dffe6L
 1;15;21;0x3cc30008020f019761f1ffe5L
 1;15;22;0x3cc38008020f01977d30ff33L
 1;15;23;0x3cc38008020f0189ee39ff32L
 1;15;24;0x3cc38008020f0189fd35ff31L
 1;15;25;0x3cc38008020f0197062eff2fL
 1;15;26;0x3cc38008020f01971d34ff20L
 1;15;27;0x3cc38008020f0197aa3bff21L
 1;15;28;0x3cc38008020f0197b625ff22L
 1;15;29;0x3cc38008020f0197b22bff3cL
 1;15;30;0x3c3cc38008020f019796f7ffL
 1;16; 1;0x3cdf8008020f01899247fff2L
 1;16; 2;0x3cdf8008020f01895a2dfff1L
 1;16; 3;0x3cdf8008020f01890684ffefL
 1;16; 4;0x3cdf8008020f01891d5affe0L
 1;16; 5;0x3cdf8008020f01894135ffe1L
 1;16; 6;0x3cdf8008020f0197da50ffe2L
 1;16; 7;0x3cdf8008020f01970ee2fffcL
 1;16; 8;0x3cdf8008020f0197c13dffe4L
 1;16; 9;0x3cdf8008020f01971225fffaL
 1;16;10;0x3cdf8008020f0197c636fff9L
 1;16;11;0x3cdf8008020f01892e3bffe7L
 1;16;12;0x3cdf8008020f0189ca8bffe8L
 1;16;13;0x3cdf8008020f0189269dfff6L
 1;16;14;0x3cdf8008020f0189864cfff5L
 1;16;15;0x3cc30008020f0197062effe3L
 1;16;16;0x3cc30008020f0189965cfffdL
 1;16;17;0x3cc30008020f01898a2cfffeL
 1;16;18;0x3cc30008020f0189da87ffffL
 1;16;19;0x3cc30008020f0189c656fff0L
 1;16;20;0x3cc30008020f0189463affeeL
 1;16;21;0x3cc30008020f0197da49ffedL
 1;16;22;0x3cc30008020f019712faffecL
 1;16;23;0x3cc30008020f01970623ffebL
 1;16;24;0x3cc3000802112197063bffeaL
 1;16;25;0x3cc30008020f0197c639ffe9L
 1;16;26;0x3cc30008020f0189263ffff7L
 1;16;27;0x3cc30008020f0189d298fff8L
 1;16;28;0x3cc30008020f01893d5cffe6L
 1;16;29;0x3cc30008020f01898e58ffe5L
 1;16;30;0x3cc38008020f01970e2bff33L
 1;17; 1;0x3cdd0008020f01979227ff2cL
 1;17; 2;0x3cdd0008020f0189ea3bff2bL
 1;17; 3;0x3cdd0008020f01894af4ff2aL
 1;17; 4;0x3cdd0008020f0197d2f3ff29L
 1;17; 5;0x3cdd0008020f0197aa2aff37L
 1;17; 6;0x3cdd0008020f01971d43ff38L
 1;17; 7;0x3cdd0008020f01894a57ff26L
 1;17; 8;0x3cdd0008020f01894e39ff25L
 1;17; 9;0x3cdd8008020f0189c656fff3L
 1;17;10;0x3cdd8008020f018ae651fff2L
 1;17;11;0x3cdd8008020f018a8669fff1L
 1;17;12;0x3cdd8008020f0189126effefL
 1;17;13;0x3cdd8008020f0197612affe0L
 1;17;14;0x3cdd8008020f01894a27ffe1L
 1;17;15;0x3cdd8008020f0197bd34ffe2L
 1;17;16;0x3cdd8008020f01978636fffcL
 1;17;17;0x3cdd8008020f01971a3fffe4L
 1;17;18;0x3cdd8008020f01895af3fffaL
 1;17;19;0x3cdd8008020f0197b2effff9L
 1;17;20;0x3cdd8008020f0197ae37ffe7L
 1;17;21;0x3cdd8008020f0197ce5fffe8L
 1;17;22;0x3cdd8008020f01894a45fff6L
 1;17;23;0x3cdd8008020f0189565ffff5L
 1;17;24;0x3cde0008020f0189c651ffe3L
 1;17;25;0x3cde0008020f018afa56fffdL
 1;17;26;0x3cde0008020f018a5a6bfffeL
 1;17;27;0x3cde0008020f01890a71ffffL
 1;17;28;0x3cde0008020f01976a2afff0L
 1;17;29;0x3cde0008020f0189213affeeL
 1;17;30;0x3cde0008020f0197bd39ffedL
 1;18; 1;0x3cdf8008020f018921f5fff6L
 1;18; 2;0x3cdf8008020f0197fae8fff5L
 1;18; 3;0x3cc38008020f01893df6ff36L
 1;18; 4;0x3cc38008020f0197faf5ff35L
 1;18; 5;0x3cdd0008020f01973af2ff23L
 1;18; 6;0x3cdd0008020f01972ae5ff3dL
 1;18; 7;0x3cdd0008020f0197fdfdff9eL
 1;18; 8;0x3cdd0008020f01979df8ff3fL
 1;18; 9;0x3cdd0008020f0197f6e5ff30L
 1;18;10;0x3cdd0008020f0197b6f2ff2eL
 1;18;11;0x3cdd0008020f01973aedff2dL
 1;18;12;0x3cdd0008020f0197eeffff2cL
 1;18;13;0x3cdd0008020f0197fdffff2bL
 1;18;14;0x3cdd0008020f01975defff2aL
 1;18;15;0x3cdd0008020f0197f2f8ff29L
 1;18;16;0x3cdd0008020f01972aebff97L
 1;18;17;0x3cdd0008020f019746edff38L
